City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,upata,80,VE,1559681068,84,8.02,-62.41,79.87,6.49
1,punta arenas,90,CL,1559681068,93,-53.16,-70.91,41.0,10.29
2,ciudad bolivar,75,VE,1559681068,44,8.12,-63.55,92.29,7.92
3,yaan,98,NG,1559681068,82,7.38,8.57,79.69,10.49
4,saint-philippe,90,CA,1559681069,44,45.36,-73.48,64.0,10.29
5,shimoda,100,JP,1559681069,94,34.7,138.93,62.01,1.54
6,avarua,99,CK,1559681069,88,-21.21,-159.78,75.2,4.7
7,albany,75,US,1559681069,28,42.65,-73.75,68.0,11.41
8,kungurtug,100,RU,1559681070,76,50.6,97.53,39.01,2.42
9,atuona,16,PF,1559681070,77,-9.8,-139.03,82.57,19.8
10,rikitea,4,PF,1559681070,81,-23.12,-134.97,76.09,12.46
11,leeuwarden,90,NL,1559680819,64,53.2,5.79,73.0,13.87
12,kaduqli,100,SD,1559681071,65,11.01,29.72,81.85,19.89
13,mataura,100,NZ,1559681071,83,-46.19,168.86,41.0,7.16
14,isiro,100,CD,1559681071,98,2.77,27.62,67.63,1.45
15,sao filipe,84,CV,1559681071,85,14.9,-24.5,74.29,14.03
16,tezu,1,IN,1559681071,58,27.93,96.16,73.57,3.71
17,botwood,75,CA,1559680895,73,49.14,-55.34,69.8,13.87
18,tobe,75,JP,1559681071,82,33.74,132.79,69.01,3.36
19,tougue,100,GN,1559681072,74,11.45,-11.68,75.91,5.12
20,torbay,90,CA,1559681072,93,47.66,-52.73,63.0,17.22
21,saldanha,0,PT,1559681072,59,41.42,-6.55,54.85,11.95
22,bandarbeyla,100,SO,1559681072,66,9.49,50.81,82.93,6.42
23,san juan,12,AR,1559681073,11,-31.54,-68.53,67.99,2.13
24,grand gaube,40,MU,1559681074,60,-20.01,57.66,73.4,14.99
25,hasaki,75,JP,1559681074,93,35.73,140.83,64.4,2.24
26,longyearbyen,75,NO,1559681074,80,78.22,15.63,35.6,6.93
27,ilulissat,75,GL,1559681074,70,69.22,-51.1,44.6,5.82
28,touros,20,BR,1559681074,74,-5.2,-35.46,82.4,10.29
29,butaritari,100,KI,1559681075,81,3.07,172.79,83.65,15.66
30,vaini,74,IN,1559681075,84,15.34,74.49,80.05,1.77
31,san patricio,0,PY,1559681075,81,-26.98,-56.83,60.97,3.18
32,dicabisagan,28,PH,1559681075,90,17.08,122.42,76.45,3.62
33,necochea,98,AR,1559681024,79,-38.55,-58.74,60.01,7.0
34,ponta do sol,0,BR,1559681076,77,-20.63,-46.0,60.25,4.25
35,ca mau,100,VN,1559681076,79,9.18,105.15,82.03,1.79
36,shambu,90,ET,1559681076,92,9.57,37.1,55.93,1.5
37,luderitz,0,NA,1559681076,84,-26.65,15.16,57.37,11.56
38,portland,20,US,1559680876,26,45.52,-122.67,75.0,3.36
39,mitsamiouli,12,KM,1559681077,76,-11.38,43.28,79.51,17.02
40,provideniya,90,RU,1559681077,86,64.42,-173.23,39.2,4.47
41,bethel,20,US,1559681078,59,60.79,-161.76,62.6,10.29
42,kabare,97,RW,1559681078,93,-1.65,29.38,56.29,0.81
43,iqaluit,75,CA,1559681078,86,63.75,-68.52,37.4,8.05
44,isangel,20,VU,1559681078,94,-19.55,169.27,71.6,4.92
45,cabedelo,40,BR,1559681078,78,-6.97,-34.84,78.8,11.41
46,dauphin,75,CA,1559681079,56,51.15,-100.04,69.8,14.99
47,thompson,90,CA,1559680785,87,55.74,-97.86,48.2,5.82
48,pevek,100,RU,1559681079,92,69.7,170.27,31.81,8.08
49,ushuaia,0,AR,1559681066,93,-54.81,-68.31,42.8,8.05
50,sechura,66,PE,1559681080,79,-5.56,-80.82,69.97,17.87
51,busselton,97,AU,1559681080,35,-33.64,115.35,57.0,34.31
52,bluff,57,AU,1559681080,55,-23.58,149.07,47.83,11.05
53,saskylakh,0,RU,1559681080,68,71.97,114.09,39.55,12.17
54,cherskiy,0,RU,1559681081,51,68.75,161.3,36.31,15.23
55,brae,1,GB,1559681081,81,60.4,-1.35,48.2,11.41
56,tuktoyaktuk,40,CA,1559681081,72,69.44,-133.03,42.8,11.41
57,hofn,100,IS,1559681081,83,64.25,-15.21,30.37,24.16
58,piopio,90,CL,1559681081,87,-42.79,-73.57,55.4,6.93
59,ribeira grande,75,PT,1559681082,59,38.52,-28.7,64.4,12.75
60,bagdarin,100,RU,1559681082,95,54.44,113.59,46.21,6.49
61,arraial do cabo,40,BR,1559681082,56,-22.97,-42.02,73.4,23.04
62,tasiilaq,0,GL,1559681082,42,65.61,-37.64,44.6,11.41
63,geraldton,75,CA,1559681082,36,49.72,-86.95,64.4,3.36
64,alabaster,1,US,1559681082,33,33.24,-86.82,98.01,3.36
65,jamestown,0,AU,1559681083,91,-33.21,138.6,39.55,6.17
66,shimanovsk,0,RU,1559681083,68,52.0,127.67,60.97,2.3
67,kysyl-syr,100,RU,1559681083,78,63.9,122.77,56.29,7.56
68,hithadhoo,100,MV,1559681083,78,-0.6,73.08,84.55,9.57
69,sao jose da coroa grande,30,BR,1559681084,90,-8.9,-35.15,73.93,3.56
70,lovozero,98,RU,1559681084,92,68.01,35.02,45.31,5.26
71,formosa,0,AR,1559681084,68,-26.19,-58.17,68.0,10.29
72,smoky lake,0,CA,1559681084,40,54.11,-112.47,68.0,11.92
73,chapais,90,CA,1559681084,87,49.78,-74.86,42.8,3.36
74,lufilufi,6,WS,1559681084,78,-13.87,-171.6,83.65,23.53
75,iaciara,90,BR,1559681085,53,-14.1,-46.63,77.71,5.12
76,hermanus,95,ZA,1559681085,95,-34.42,19.24,60.01,10.0
77,chokurdakh,0,RU,1559681085,66,70.62,147.9,35.05,4.72
78,garchitorena,10,PH,1559681086,77,13.88,123.7,83.83,6.82
79,burnie,12,AU,1559681086,95,-41.05,145.91,41.0,4.0
80,hilo,75,US,1559681086,58,19.71,-155.08,82.4,10.11
81,port alfred,48,ZA,1559681086,90,-33.59,26.89,62.01,7.0
82,georgetown,40,GY,1559681087,79,6.8,-58.16,87.8,13.87
83,saint george,75,GR,1559681087,88,39.45,22.34,64.4,4.9
84,hobart,20,AU,1559681080,70,-42.88,147.33,48.0,11.41
85,pitimbu,40,BR,1559681087,78,-7.47,-34.81,78.8,11.41
86,roald,75,NO,1559681088,71,62.58,6.12,59.0,5.82
87,labuhan,90,ID,1559681088,96,-2.54,115.51,73.57,1.36
88,chuy,0,UY,1559681088,58,-33.69,-53.46,59.89,6.96
89,zanjan,67,IR,1559681005,37,36.67,48.48,74.47,5.46
90,bulolo,99,PG,1559681088,92,-7.2,146.64,64.57,2.21
91,tiksi,0,RU,1559681088,81,71.64,128.87,32.89,12.8
92,yellowknife,90,CA,1559681088,93,62.45,-114.38,44.6,9.17
93,san francisco,20,US,1559681014,50,37.78,-122.42,91.0,13.87
94,puerto ayora,20,EC,1559681090,54,-0.74,-90.35,84.2,19.46
95,abu samrah,100,SY,1559681091,34,35.3,37.18,80.41,7.85
96,wamba,100,CD,1559681091,95,2.14,27.99,68.71,1.83
97,grindavik,0,IS,1559681091,61,63.84,-22.43,48.2,20.8
98,east london,0,ZA,1559681092,68,-33.02,27.91,59.89,6.82
99,kodiak,1,US,1559681092,25,39.95,-94.76,87.01,17.22
100,cockburn town,15,TC,1559681092,78,21.46,-71.14,82.03,9.89
101,bredasdorp,100,ZA,1559681092,87,-34.53,20.04,60.8,8.05
102,bambous virieux,40,MU,1559681093,60,-20.34,57.76,73.4,14.99
